"stcounty_fips","overall_cvi","baseline_all","baseline_health","baseline_socioEcon","baseline_infrastructure","baseline_environ","climate_all","climate_health","climate_socioEcon","climate_extreme"
"55021",0.438995058567233,0.36471852420772,0.364849239120608,0.413739192612353,0.324243175383906,0.356042489714014,0.538030437713251,0.302094399256998,0.692650397588996,0.619346516293759
"08067",0.431933578042301,0.360775016710494,0.37419449393219,0.416138136885077,0.354536340065609,0.298231095959098,0.526811659818044,0.294819868820685,0.66170311841449,0.623911992218958
"54013",0.536865532350401,0.46844766874697,0.613411440868384,0.505796297216583,0.568323180909669,0.186259755993243,0.62808935048831,0.695595785759761,0.645639774054059,0.543032491651111
"31069",0.490842243415173,0.406976606414821,0.402262594693263,0.330194327610978,0.522849890263485,0.372599613091559,0.602663092748975,0.326764770045581,0.721317035080126,0.759907473121218
"01117",0.52069975398886,0.428470785241567,0.45563572757677,0.297094845165725,0.505185199323479,0.455967368900293,0.643671712318584,0.840871782193392,0.570544121962384,0.519599232799976
"16059",0.470483085951303,0.426315911810099,0.47820986400974,0.466327506291251,0.533646730626334,0.22707954631307,0.529372651472908,0.214118177011568,0.589596002778525,0.784403774628632
"17153",0.616362267972472,0.619690986659639,0.64583985787258,0.647963507392163,0.799281788934368,0.385678792439445,0.611923976389583,0.619462092228881,0.689981975682672,0.526327861257196
"47015",0.599734801110938,0.538576865390791,0.717640202045819,0.54203686717718,0.664692842500256,0.229937549839909,0.681278715404468,0.842809719711932,0.678510278713255,0.522516147788218
"26021",0.487677416646148,0.50057191729497,0.622777509395389,0.503505619959802,0.459074786051828,0.416929753772863,0.470484749114385,0.322422595611722,0.545380218235746,0.543651433495689
"24033",0.490357741273487,0.456575422328366,0.445889920789482,0.509840874990439,0.401159583188643,0.469411310344901,0.535400833200315,0.685848602187745,0.403441159788774,0.516912737624427
"06107",0.558814697849725,0.620090175047876,0.546158937737795,0.727718432928929,0.640457004079462,0.566026325445316,0.477114061585525,0.476684463883875,0.553320244931964,0.401337475940736
"48303",0.561350871623935,0.532072026919297,0.609664872383206,0.518283116453385,0.607381756332348,0.392958362508248,0.60038933123012,0.52346766720219,0.613393295064188,0.664307031423984
"18003",0.520157952646638,0.546304359376777,0.645184120168328,0.514836401484686,0.469785185391265,0.555411730462827,0.485296077006452,0.357034014131391,0.498836522173494,0.600017694714473
"27003",0.410566927111164,0.351037730265115,0.279699194403068,0.415104813251138,0.277785213247145,0.43156170015911,0.489939189572561,0.366446290613043,0.575483173821796,0.527888104282844
"51683",0.471452188087187,0.419982296464083,0.431075178516976,0.410358648518871,0.395634239809905,0.442861119010578,0.540078710251326,0.68190826072392,0.474375972259504,0.463951897770554
"38095",0.457303288005447,0.406462371646651,0.425605971389405,0.401331674502207,0.526431816519733,0.27248002417526,0.525091176483841,0.239658934546763,0.735104536312533,0.600510058592227
"13311",0.556989804322867,0.478034299501538,0.527140430077621,0.499483828856531,0.62662308392189,0.258889855150112,0.662263810751305,0.783808884282562,0.638040488601979,0.564942059369373
"30085",0.556837190107556,0.563441750959941,0.6436076018483,0.660966281432301,0.591731409914698,0.357461710644467,0.548031108971041,0.26893102557739,0.671207868851426,0.703954432484307
"48345",0.575296829897989,0.507811338672011,0.592262128697343,0.569762161335834,0.628379621322634,0.240841443332234,0.66527748486596,0.671129181282471,0.636822211208093,0.687881062107317
"39001",0.589628615243067,0.589291705749158,0.795265392820992,0.605108492294734,0.681577796121834,0.275215141759071,0.590077827901613,0.584412288716094,0.592391918100548,0.593429276888196
"22029",0.621015720499719,0.630047453179898,0.831390660574559,0.59635170915534,0.720544347302686,0.371903095687007,0.608973410259481,0.665805446973553,0.669747160469769,0.49136762333512
"40085",0.535141465897563,0.553992059371628,0.755565460815116,0.528869326915622,0.625964779642201,0.305568670113574,0.510007341265476,0.515574418676593,0.545582220197786,0.468865384922049
"36065",0.465494163130007,0.475077312859132,0.510479823007692,0.632545618149278,0.441837407746597,0.315446402532959,0.452716630157842,0.241855532594767,0.473677628358074,0.642616729520685
"13139",0.549832327284714,0.495693055663511,0.497004262036426,0.486509233969054,0.56059316866964,0.438665557978924,0.622018022779651,0.750661878268887,0.627401264339697,0.48799092573037
"13225",0.603597989971182,0.591395350989238,0.718038045454042,0.56556797061975,0.630045784720989,0.451929603162169,0.619868175280442,0.898905541683096,0.502095929907278,0.458603054250952
"48357",0.516571886614991,0.443933289478422,0.522605888910956,0.433672614862524,0.489068912620731,0.33038574151948,0.61342334946375,0.496527775716262,0.652088838602321,0.691653434072668
"12081",0.541234945860487,0.49774904634342,0.617107926786465,0.577094302648337,0.438458961515417,0.358334994423462,0.599216145216577,0.656532333980208,0.698762347639097,0.442353754030425
"42043",0.536208089819749,0.519936799965999,0.558237867896352,0.51482906315927,0.476173214818866,0.530507053989507,0.557903142958084,0.606099891852299,0.576309579384699,0.491299957637254
"40045",0.537925737088177,0.491469797419459,0.522627219858299,0.517350071384369,0.570176848563257,0.355725049871908,0.599866989979801,0.510861290675062,0.587942705495357,0.700796973768985
"16017",0.427048183837466,0.423412236027938,0.493772645770717,0.494115244275039,0.464883455335411,0.240877598730585,0.43189611425017,0.226749603444509,0.401505625694268,0.667433113611734
"53071",0.432440929814041,0.442070596095027,0.449966166978356,0.602040966739153,0.330734882749728,0.385540367912874,0.419601374772727,0.311692161653304,0.427757778466183,0.519354184198693
"17203",0.439337273955426,0.348439592869864,0.321959060943739,0.379508147461933,0.374610791074935,0.317680371998851,0.560534182069508,0.440214162865111,0.710781086398501,0.530607296944912
